latitude,longitude,datetime,filename,object_name,object_quantity,,
29.64862222,-82.34119167,2023-02-01T12:34:10.0,000021.01.JPG,Tree,1,,
29.64862222,-82.34119167,2023-02-01T12:34:10.0,000021.01.JPG,House,1,,
29.64862222,-82.34119167,2023-02-01T12:34:06.0,000020.01.JPG,Car,1,,
29.64862222,-82.34119167,2023-02-01T12:34:06.0,000020.01.JPG,Tree,1,,
29.64862222,-82.34119167,2023-02-01T12:34:06.0,000020.01.JPG,House,1,,
29.648625,-82.34113611,2023-02-01T12:34:03.0,000019.01.JPG,Car,1,,
29.648625,-82.34113611,2023-02-01T12:34:03.0,000019.01.JPG,Tree,1,,
29.648625,-82.34113611,2023-02-01T12:34:03.0,000019.01.JPG,Vehicle_registration_plate,1,,
29.648625,-82.34113611,2023-02-01T12:34:00.0,000018.01.JPG,Tree,1,,
29.648625,-82.34110278,2023-02-01T12:33:57.0,000017.01.JPG,Car,1,,
29.648625,-82.34110278,2023-02-01T12:33:57.0,000017.01.JPG,Van,1,,
29.648625,-82.34110278,2023-02-01T12:33:57.0,000017.01.JPG,Tree,2,,
29.648625,-82.34110278,2023-02-01T12:33:57.0,000017.01.JPG,Building,1,,
29.64861111,-82.34104722,2023-02-01T12:33:54.0,000016.01.JPG,Car,2,,
29.64861111,-82.34104722,2023-02-01T12:33:54.0,000016.01.JPG,Van,1,,
29.64861111,-82.34104722,2023-02-01T12:33:54.0,000016.01.JPG,Wheel,1,,
29.64861111,-82.34104722,2023-02-01T12:33:54.0,000016.01.JPG,Tree,1,,
29.64861111,-82.34104722,2023-02-01T12:33:51.0,000015.01.JPG,Car,1,,
29.64861111,-82.34104722,2023-02-01T12:33:51.0,000015.01.JPG,Human_face,1,,
29.64861111,-82.34104722,2023-02-01T12:33:51.0,000015.01.JPG,Vehicle_registration_plate,1,,
29.64860278,-82.34098889,2023-02-01T12:33:48.0,000014.01.JPG,Car,1,,
29.64860278,-82.34098889,2023-02-01T12:33:48.0,000014.01.JPG,Wheel,1,,
29.64860278,-82.34098889,2023-02-01T12:33:45.0,000013.01.JPG,Woman,1,,
29.64860278,-82.34098889,2023-02-01T12:33:45.0,000013.01.JPG,Shorts,2,,
29.64860278,-82.34098889,2023-02-01T12:33:45.0,000013.01.JPG,Human_leg,1,,
29.64860278,-82.340925,2023-02-01T12:33:42.0,000012.01.JPG,Bench,3,,
29.64860278,-82.340925,2023-02-01T12:33:42.0,000012.01.JPG,Clothing,4,,
29.64860278,-82.340925,2023-02-01T12:33:42.0,000012.01.JPG,Man,3,,
29.64860278,-82.340925,2023-02-01T12:33:42.0,000012.01.JPG,Person,1,,
29.64860278,-82.340925,2023-02-01T12:33:42.0,000012.01.JPG,Footwear,1,,
29.64858333,-82.34087222,2023-02-01T12:33:36.0,000010.01.JPG,Tree,1,,
29.64858333,-82.34087222,2023-02-01T12:33:36.0,000010.01.JPG,Wheel,2,,
29.64858333,-82.34087222,2023-02-01T12:33:33.0,000009.01.JPG,House,1,,
29.648575,-82.34081944,2023-02-01T12:33:30.0,000008.01.JPG,Wheel,1,,
29.648575,-82.34081944,2023-02-01T12:33:30.0,000008.01.JPG,Person,1,,
29.648575,-82.34081944,2023-02-01T12:33:30.0,000008.01.JPG,Tree,1,,
29.648575,-82.34081944,2023-02-01T12:33:30.0,000008.01.JPG,House,1,,
29.648575,-82.34081944,2023-02-01T12:33:27.0,000007.01.JPG,House,1,,
29.64856389,-82.34076667,2023-02-01T12:33:24.0,000006.01.JPG,Tree,1,,
29.64855278,-82.34071111,2023-02-01T12:33:21.0,000005.01.JPG,Tree,1,,
29.64855278,-82.34071111,2023-02-01T12:33:18.0,000004.01.JPG,Tree,1,,
29.64852222,-82.34066944,2023-02-01T12:33:15.0,000003.01.JPG,Building,1,,
29.64852222,-82.34066944,2023-02-01T12:33:15.0,000003.01.JPG,Person,1,,
29.64852222,-82.34066944,2023-02-01T12:33:12.0,000002.01.JPG,Tree,1,,
29.64852222,-82.34066944,2023-02-01T12:33:12.0,000002.01.JPG,Building,2,,
29.64852222,-82.34066944,2023-02-01T12:33:08.0,000001.01.JPG,Car,1,,
29.64852222,-82.34066944,2023-02-01T12:33:08.0,000001.01.JPG,Tree,1,,
29.64852222,-82.34066944,2023-02-01T12:33:08.0,000001.01.JPG,Window,1,,
29.64852222,-82.34066944,2023-02-01T12:33:08.0,000001.01.JPG,Person,1,,
29.64852222,-82.34066944,2023-02-01T12:33:08.0,000001.01.JPG,Vehicle_registration_plate,1,,
29.64852222,-82.34066944,2023-02-01T12:33:05.0,000000.01.JPG,Car,1,,
29.64852222,-82.34066944,2023-02-01T12:33:05.0,000000.01.JPG,Vehicle_registration_plate,1,,
29.64852222,-82.34066944,2023-02-01T12:33:05.0,000000.01.JPG,Wheel,2,,
29.64852222,-82.34066944,2023-02-01T12:33:05.0,000000.01.JPG,Building,1,,
